sentence,label
"/*
 * @description
 *  Authorization Bypass through SQL primary
 * BadSource:  user id taken from url parameter
 * GoodSource: hardcoded user id
 * Sinks: writeConsole
 *    BadSink : user authorization not checked
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* Assuming this id does not exist */
/* POTENTIAL FLAW: no check to see whether the user has privileges to view the data */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Authorization_Bypass_Through_SQL_Primary__Servlet_81_bad.java
Label Definition File: _Authorization_Bypass_Through_SQL_Primary__Servlet.label.xml
Template File: sources-sink-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import java.sql.*;
import java.util.logging.Level;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: Property Read data from a system property
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__Property_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: database Read data from a database
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__database_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: getQueryString_Servlet Parse id param out of the URL query string (without using getParameter())
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__getQueryString_Servlet_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: Environment Read data from an environment variable
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__Environment_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: PropertiesFile Read data from a .properties file (in property named data)
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__PropertiesFile_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: connect_tcp Read data using an outbound tcp connection
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__connect_tcp_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: console_readLine Read data from the console using readLine()
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__console_readLine_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: listen_tcp Read data using a listening tcp connection
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__listen_tcp_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
"/*
 * @description
 *  Xpath Injection
 * BadSource: getCookies_Servlet Read data from the first cookie using getCookies()
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
/* running on Windows */
/* running on non-Windows */
/* INCIDENTAL:  Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
/* assume username||password as source */
/* build xpath */
/* POTENTIAL FLAW: user input is used without validate */
/* TEMPLATE GENERATED TESTCASE FILE
Filename: _Xpath_Injection__getCookies_Servlet_81_bad.java
Label Definition File: _Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
import testcasesupport.*;
import javax.servlet.http.*;
import javax.xml.xpath.*;
import org.xml.sax.InputSource;
import org.apache.commons.lang.StringEscapeUtils;
",CWE
